iter	Passed	Remaining
0	3	3094
1	5	2773
2	7	2493
3	10	2492
4	12	2580
5	15	2523
6	17	2473
7	20	2516
8	22	2512
9	25	2485
10	27	2462
11	30	2518
12	34	2619
13	37	2607
14	39	2572
15	42	2607
16	44	2596
17	46	2561
18	49	2543
19	51	2520
20	53	2487
21	55	2461
22	58	2463
23	59	2436
24	61	2414
25	63	2396
26	65	2376
27	67	2351
28	69	2323
29	71	2296
30	73	2286
31	74	2267
32	76	2251
33	78	2242
34	81	2246
35	83	2239
36	85	2233
37	88	2246
38	91	2248
39	93	2240
40	95	2238
41	98	2242
42	100	2231
43	103	2246
44	105	2245
45	107	2234
46	110	2237
47	112	2233
48	114	2228
49	117	2223
50	119	2228
51	122	2232
52	124	2231
53	126	2224
54	129	2219
55	130	2205
56	132	2192
57	134	2183
58	136	2170
59	137	2157
60	139	2150
61	141	2143
62	143	2137
63	145	2127
64	147	2123
65	149	2122
66	151	2116
67	153	2107
68	155	2101
69	157	2094
70	159	2086
71	161	2077
72	162	2069
73	164	2060
74	166	2050
75	167	2040
76	169	2032
77	171	2027
78	173	2020
79	175	2015
80	176	2006
81	178	2002
82	180	1994
83	182	1986
84	183	1978
85	185	1972
86	187	1971
87	189	1966
88	191	1959
89	193	1952
90	195	1950
91	197	1948
92	199	1943
93	202	1952
94	204	1952
95	206	1945
96	208	1939
97	210	1937
98	212	1934
99	215	1936
100	217	1936
101	219	1934
102	221	1929
103	223	1923
104	225	1921
105	227	1915
106	228	1908
107	230	1902
108	232	1899
109	234	1893
110	235	1889
111	237	1885
112	239	1880
113	241	1875
114	242	1870
115	244	1864
116	247	1865
117	249	1862
118	251	1859
119	252	1855
120	254	1851
121	256	1849
122	258	1846
123	261	1844
124	262	1840
125	264	1836
126	266	1832
127	268	1826
128	270	1823
129	271	1819
130	273	1814
131	275	1809
132	277	1808
133	279	1807
134	281	1805
135	283	1800
136	285	1798
137	287	1794
138	288	1789
139	290	1784
140	292	1781
141	294	1779
142	296	1775
143	297	1771
144	299	1766
145	301	1764
146	303	1762
147	305	1759
148	307	1756
149	309	1752
150	311	1749
151	312	1744
152	314	1740
153	316	1737
154	317	1733
155	319	1729
156	321	1725
157	323	1722
158	325	1720
159	327	1717
160	328	1714
161	331	1714
162	333	1712
163	335	1709
164	337	1706
165	339	1705
166	341	1705
167	344	1703
168	346	1701
169	347	1699
170	349	1695
171	351	1692
172	353	1690
173	355	1688
174	357	1686
175	359	1683
176	361	1682
177	363	1679
178	365	1677
179	367	1675
180	369	1673
181	372	1672
182	374	1670
183	376	1669
184	378	1667
185	380	1664
186	382	1662
187	384	1660
188	386	1660
189	388	1658
190	390	1655
191	393	1655
192	395	1653
193	397	1653
194	400	1652
195	403	1653
196	405	1651
197	407	1650
198	409	1648
199	411	1645
200	414	1648
201	417	1648
202	419	1646
203	422	1649
204	425	1651
205	428	1650
206	430	1648
207	432	1646
208	435	1646
209	438	1648
210	440	1648
211	443	1648
212	446	1648
213	448	1645
214	450	1643
215	452	1641
216	454	1638
217	456	1636
218	458	1635
219	461	1635
220	463	1632
221	465	1630
222	467	1629
223	469	1627
224	471	1625
225	473	1623
226	476	1621
227	478	1620
228	480	1618
229	483	1617
230	485	1615
231	487	1613
232	490	1613
233	492	1610
234	494	1609
235	496	1606
236	498	1605
237	500	1602
238	502	1599
239	504	1597
240	506	1594
241	508	1592
242	510	1590
243	512	1588
244	514	1586
245	516	1583
246	520	1587
247	524	1589
248	526	1588
249	529	1587
250	531	1586
